	chembl_tid	entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name	#mmp	#mms	machine1	machine2
10	CHEMBL236	P41143	OPRD_HUMAN	Delta-type opioid receptor (D-OR-1) (DOR-1)	G-protein coupled receptor 1 family	Homo sapiens (Human)		OPRD1	G protein-coupled enkephalin receptor activity [GO:0038046]; G protein-coupled opioid receptor activity [GO:0004985]; G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; receptor serine/threonine kinase binding [GO:0033612]	Delta-type opioid receptor	1093	44	True	False
11	CHEMBL234	P35462	DRD3_HUMAN	D(3) dopamine receptor (Dopamine D3 receptor)	G-protein coupled receptor 1 family	Homo sapiens (Human)		DRD3	D1 dopamine receptor binding [GO:0031748]; dopamine neurotransmitter receptor activity, coupled via Gi/Go [GO:0001591]; G protein-coupled receptor activity [GO:0004930]; protein domain specific binding [GO:0019904]	D(3) dopamine receptor	1054	98	False	True
12	CHEMBL237	P41145	OPRK_HUMAN	Kappa-type opioid receptor (K-OR-1) (KOR-1)	G-protein coupled receptor 1 family	Homo sapiens (Human)		OPRK1	dynorphin receptor activity [GO:0038048]; G protein-coupled opioid receptor activity [GO:0004985]; G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; receptor serine/threonine kinase binding [GO:0033612]	Kappa-type opioid receptor	1039	48	True	False
13	CHEMBL251	P29274	AA2AR_HUMAN	Adenosine receptor A2a	G-protein coupled receptor 1 family	Homo sapiens (Human)		ADORA2A	alpha-actinin binding [GO:0051393]; enzyme binding [GO:0019899]; G protein-coupled adenosine receptor activity [GO:0001609]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; type 5 metabotropic glutamate receptor binding [GO:0031802]	Adenosine receptor A2a	1010	86	False	True
14	CHEMBL228	P31645	SC6A4_HUMAN	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A4 subfamily	Homo sapiens (Human)		SLC6A4	actin filament binding [GO:0051015]; cocaine binding [GO:0019811]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monoamine transmembrane transporter activity [GO:0008504]; neurotransmitter transmembrane transporter activity [GO:0005326]; nitric-oxide synthase binding [GO:0050998]; serotonin:sodium symporter activity [GO:0005335]; serotonin binding [GO:0051378]; syntaxin-1 binding [GO:0017075]	Sodium-dependent serotonin transporter	923	78	True	False
15	CHEMBL3880	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	Heat shock protein 90 family	Homo sapiens (Human)	3.6.4.10	HSP90AA1	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; GTPase binding [GO:0051020]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase binding [GO:1990782]; RNA binding [GO:0003723]; scaffold protein binding [GO:0097110]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]	Heat shock protein HSP 90-alpha	894	25	False	True
16	CHEMBL284	P27487	DPP4_HUMAN	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	Peptidase S9B family, DPPIV subfamily	Homo sapiens (Human)	3.4.14.5	DPP4	aminopeptidase activity [GO:0004177]; chemorepellent activity [GO:0045499]; dipeptidyl-peptidase activity [GO:0008239]; identical protein binding [GO:0042802]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; signaling receptor binding [GO:0005102]; virus receptor activity [GO:0001618]	Dipeptidyl peptidase 4	884	47	True	False
17	CHEMBL255	P29275	AA2BR_HUMAN	Adenosine receptor A2b	G-protein coupled receptor 1 family	Homo sapiens (Human)		ADORA2B	G protein-coupled adenosine receptor activity [GO:0001609]	Adenosine receptor A2b	841	57	False	True
18	CHEMBL256	P0DMS8	AA3R_HUMAN	Adenosine receptor A3	G-protein coupled receptor 1 family	Homo sapiens (Human)		ADORA3	G protein-coupled adenosine receptor activity [GO:0001609]	Adenosine receptor A3	796	65	True	False
19	CHEMBL3991	P08709	FA7_HUMAN	Coagulation factor VII (EC 3.4.21.21) (Proconvertin) (Serum prothrombin conversion accelerator) (SPCA) (Eptacog alfa) [Cleaved into: Factor VII light chain; Factor VII heavy chain]	Peptidase S1 family	Homo sapiens (Human)	3.4.21.21	F7	calcium ion binding [GO:0005509]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; signaling receptor binding [GO:0005102]	Coagulation factor VII	775	24	False	True
20	CHEMBL214	P08908	5HT1A_HUMAN	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A)	G-protein coupled receptor 1 family, 5-hydroxytryptamine receptor subfamily, HTR1A sub-subfamily	Homo sapiens (Human)		HTR1A	G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; receptor-receptor interaction [GO:0090722]; serotonin binding [GO:0051378]	5-hydroxytryptamine receptor 1A	708	108	True	False
21	CHEMBL344	Q99705	MCHR1_HUMAN	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	G-protein coupled receptor 1 family	Homo sapiens (Human)		MCHR1	G protein-coupled receptor activity [GO:0004930]; hormone binding [GO:0042562]; melanin-concentrating hormone receptor activity [GO:0030273]; neuropeptide binding [GO:0042923]; neuropeptide receptor activity [GO:0008188]; peptide binding [GO:0042277]; protein C-terminus binding [GO:0008022]; signaling receptor binding [GO:0005102]	Melanin-concentrating hormone receptor 1	686	62	False	True
22	CHEMBL1075323	P14625	ENPL_HUMAN	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	Heat shock protein 90 family	Homo sapiens (Human)		HSP90B1	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; low-density lipoprotein particle receptor binding [GO:0050750]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]	Endoplasmin	672	4	True	False
23	CHEMBL2326	P43166	CAH7_HUMAN	Carbonic anhydrase 7 (EC 4.2.1.1) (Carbonate dehydratase VII) (Carbonic anhydrase VII) (CA-VII)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA7	carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 7	627	51	False	True
24	CHEMBL233	P35372	OPRM_HUMAN	Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP)	G-protein coupled receptor 1 family	Homo sapiens (Human)		OPRM1	beta-endorphin receptor activity [GO:0004979]; filamin binding [GO:0031005]; G-protein alpha-subunit binding [GO:0001965]; G-protein beta-subunit binding [GO:0031681]; G protein-coupled receptor activity [GO:0004930]; morphine receptor activity [GO:0038047]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; voltage-gated calcium channel activity [GO:0005245]	Mu-type opioid receptor	625	46	True	False
25	CHEMBL224	P28223	5HT2A_HUMAN	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	G-protein coupled receptor 1 family	Homo sapiens (Human)		HTR2A	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding [GO:0071886]; G protein-coupled serotonin receptor activity [GO:0004993]; Gq/11-coupled serotonin receptor activity [GO:0001587]; identical protein binding [GO:0042802]; neurotransmitter receptor activity [GO:0030594]; protein-containing complex binding [GO:0044877]; serotonin binding [GO:0051378]; virus receptor activity [GO:0001618]	5-hydroxytryptamine receptor 2A	608	101	False	True
26	CHEMBL4657	Q6V1X1	DPP8_HUMAN	Dipeptidyl peptidase 8 (DP8) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 1) (DPRP-1) (Dipeptidyl peptidase VIII) (DPP VIII) (Prolyl dipeptidase DPP8)	Peptidase S9B family, DPPIV subfamily	Homo sapiens (Human)	3.4.14.5	DPP8	aminopeptidase activity [GO:0004177]; dipeptidyl-peptidase activity [GO:0008239]; serine-type peptidase activity [GO:0008236]	Dipeptidyl peptidase 8	601	8	True	False
27	CHEMBL218	P21554	CNR1_HUMAN	Cannabinoid receptor 1 (CB-R) (CB1) (CANN6)	G-protein coupled receptor 1 family	Homo sapiens (Human)		CNR1	cannabinoid receptor activity [GO:0004949]; G protein-coupled receptor activity [GO:0004930]; identical protein binding [GO:0042802]; voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels [GO:0099635]	Cannabinoid receptor 1	583	71	False	True
28	CHEMBL2034	P04150	GCR_HUMAN	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	Nuclear hormone receptor family, NR3 subfamily	Homo sapiens (Human)		NR3C1	core promoter sequence-specific DNA binding [GO:0001046]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; glucocorticoid receptor activity [GO:0004883]; Hsp90 protein binding [GO:0051879]; nuclear receptor activity [GO:0004879]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; steroid hormone binding [GO:1990239]; zinc ion binding [GO:0008270]	Glucocorticoid receptor	554	58	True	False
29	CHEMBL267	P12931	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	Protein kinase superfamily, Tyr protein kinase family, SRC subfamily	Homo sapiens (Human)	2.7.10.2	SRC	ATPase binding [GO:0051117]; ATP binding [GO:0005524]; BMP receptor binding [GO:0070700]; cadherin binding [GO:0045296]; connexin binding [GO:0071253]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; estrogen receptor binding [GO:0030331]; growth factor receptor binding [GO:0070851]; heme binding [GO:0020037]; insulin receptor binding [GO:0005158]; integrin binding [GO:0005178]; kinase binding [GO:0019900]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; phosphoprotein binding [GO:0051219]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane transporter binding [GO:0044325]; ubiquitin protein ligase binding [GO:0031625]	Proto-oncogene tyrosine-protein kinase Src	501	72	False	True
30	CHEMBL4793	Q86TI2	DPP9_HUMAN	Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 2) (DPRP-2) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9)	Peptidase S9B family, DPPIV subfamily	Homo sapiens (Human)	3.4.14.5	DPP9	aminopeptidase activity [GO:0004177]; dipeptidyl-peptidase activity [GO:0008239]; identical protein binding [GO:0042802]; serine-type peptidase activity [GO:0008236]	Dipeptidyl peptidase 9	500	8	True	False
31	CHEMBL1902	P62942	FKB1A_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	FKBP-type PPIase family, FKBP1 subfamily	Homo sapiens (Human)	5.2.1.8	FKBP1A	activin binding [GO:0048185]; FK506 binding [GO:0005528]; macrolide binding [GO:0005527]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; SMAD binding [GO:0046332]; transforming growth factor beta receptor binding [GO:0005160]; transmembrane transporter binding [GO:0044325]; type I transforming growth factor beta receptor binding [GO:0034713]	Peptidyl-prolyl cis-trans isomerase FKBP1A	463	11	False	True
32	CHEMBL2147	P11309	PIM1_HUMAN	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily	Homo sapiens (Human)	2.7.11.1	PIM1	ATP binding [GO:0005524]; manganese ion binding [GO:0030145]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ribosomal small subunit binding [GO:0043024]; transcription factor binding [GO:0008134]	Serine/threonine-protein kinase pim-1	459	40	True	False
33	CHEMBL2820	P03951	FA11_HUMAN	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	Peptidase S1 family, Plasma kallikrein subfamily	Homo sapiens (Human)	3.4.21.27	F11	heparin binding [GO:0008201]; identical protein binding [GO:0042802]; serine-type aminopeptidase activity [GO:0070009]; serine-type endopeptidase activity [GO:0004252]	Coagulation factor XI	436	24	False	True
34	CHEMBL206	P03372	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	Nuclear hormone receptor family, NR3 subfamily	Homo sapiens (Human)		ESR1	ATPase binding [GO:0051117]; beta-catenin binding [GO:0008013]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; estrogen receptor activity [GO:0030284]; estrogen receptor binding [GO:0030331]; estrogen response element binding [GO:0034056]; identical protein binding [GO:0042802]; nitric-oxide synthase regulator activity [GO:0030235]; nuclear receptor activity [GO:0004879]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; TBP-class protein binding [GO:0017025]; TFIIB-class transcription factor binding [GO:0001093]; transcription coactivator binding [GO:0001223]; transcription corepressor binding [GO:0001222]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]	Estrogen receptor	423	21	True	False
35	CHEMBL4409	Q9Y233	PDE10_HUMAN	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)	Cyclic nucleotide phosphodiesterase family	Homo sapiens (Human)	3.1.4.17	PDE10A	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cAMP binding [GO:0030552]; cGMP binding [GO:0030553]; cGMP-stimulated cyclic-nucleotide phosphodiesterase activity [GO:0004118]; metal ion binding [GO:0046872]	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A	422	16	False	True
36	CHEMBL222	P23975	SC6A2_HUMAN	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)	Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A2 subfamily	Homo sapiens (Human)		SLC6A2	actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; beta-tubulin binding [GO:0048487]; dopamine:sodium symporter activity [GO:0005330]; metal ion binding [GO:0046872]; monoamine transmembrane transporter activity [GO:0008504]; neurotransmitter:sodium symporter activity [GO:0005328]; neurotransmitter transmembrane transporter activity [GO:0005326]; norepinephrine:sodium symporter activity [GO:0005334]	Sodium-dependent noradrenaline transporter	406	40	True	False
37	CHEMBL3286	P00749	UROK_HUMAN	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	Peptidase S1 family	Homo sapiens (Human)	3.4.21.73	PLAU	serine-type endopeptidase activity [GO:0004252]	Urokinase-type plasminogen activator	399	25	False	True
38	CHEMBL229	P35348	ADA1A_HUMAN	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	Homo sapiens (Human)		ADRA1A	alpha1-adrenergic receptor activity [GO:0004937]; G protein-coupled receptor activity [GO:0004930]; protein heterodimerization activity [GO:0046982]	Alpha-1A adrenergic receptor	391	36	True	False
39	CHEMBL3729	P22748	CAH4_HUMAN	Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA4	carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 4	391	50	False	True
40	CHEMBL4523	Q9P1W9	PIM2_HUMAN	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily	Homo sapiens (Human)	2.7.11.1	PIM2	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase pim-2	369	39	True	False
41	CHEMBL1800	P34998	CRFR1_HUMAN	Corticotropin-releasing factor receptor 1 (CRF-R-1) (CRF-R1) (CRFR-1) (Corticotropin-releasing hormone receptor 1) (CRH-R-1) (CRH-R1)	G-protein coupled receptor 2 family	Homo sapiens (Human)		CRHR1	corticotrophin-releasing factor receptor activity [GO:0015056]; corticotropin-releasing hormone binding [GO:0051424]; corticotropin-releasing hormone receptor activity [GO:0043404]; G protein-coupled peptide receptor activity [GO:0008528]; peptide hormone binding [GO:0017046]	Corticotropin-releasing factor receptor 1	361	34	False	True
42	CHEMBL1862	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	Protein kinase superfamily, Tyr protein kinase family, ABL subfamily	Homo sapiens (Human)	2.7.10.2	ABL1	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; ATP binding [GO:0005524]; bubble DNA binding [GO:0000405]; DNA binding [GO:0003677]; ephrin receptor binding [GO:0046875]; four-way junction DNA binding [GO:0000400]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; mitogen-activated protein kinase binding [GO:0051019]; neuropilin binding [GO:0038191]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; proline-rich region binding [GO:0070064]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein tyrosine kinase activity [GO:0004713]; sequence-specific double-stranded DNA binding [GO:1990837]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; syntaxin binding [GO:0019905]; transcription coactivator activity [GO:0003713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Tyrosine-protein kinase ABL1	355	43	True	False
43	CHEMBL3717	P08581	MET_HUMAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	Protein kinase superfamily, Tyr protein kinase family	Homo sapiens (Human)	2.7.10.1	MET	ATP binding [GO:0005524]; hepatocyte growth factor-activated receptor activity [GO:0005008]; identical protein binding [GO:0042802]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; semaphorin receptor activity [GO:0017154]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Hepatocyte growth factor receptor	343	20	False	True
44	CHEMBL2730	P21980	TGM2_HUMAN	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h)) (hhG alpha(h)) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein G alpha(h)) (G(h)) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (tTgase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (hTG2)	Transglutaminase superfamily, Transglutaminase family	Homo sapiens (Human)	2.3.2.13; 3.4.-.-; 3.5.1.44; 2.3.1.-	TGM2	calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; histone dopaminyltransferase activity [GO:0120297]; histone serotonyltransferase activity [GO:0120295]; identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; peptide histaminyltransferase activity [GO:0120299]; peptide noradrenalinyltransferase activity [GO:0120298]; protein domain specific binding [GO:0019904]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; protein-glutamine glutaminase activity [GO:0050568]	Protein-glutamine gamma-glutamyltransferase 2	331	14	True	False
